Library,Symbol,Value,Description,Footprint,Datasheet
Audio,ADAU1361,ADAU1361,"Stereo, Low Power, 96 kHz, 24-bit Audio Codec with Integrated PLL, VQFN-32 (LFCSP-32)",Package_CSP:LFCSP-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1361.pdf
DSP_AnalogDevices,ADAU1450,ADAU1450,"SigmaDSP SigmaDSP Digital Audio Processor, 147.456 MHz, 8kword Data RAM, I2C/SPI, LFCSP-72",Package_CSP:LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1452_1451_1450.pdf
DSP_AnalogDevices,ADAU1451,ADAU1451,"SigmaDSP SigmaDSP Digital Audio Processor, 294.912 MHz, 40kword Data RAM, I2C/SPI, S/PDIF I/O, 16-Channel ASRC, LFCSP-72",Package_CSP:LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1452_1451_1450.pdf
DSP_AnalogDevices,ADAU1452,ADAU1452,"SigmaDSP SigmaDSP Digital Audio Processor, 294.912 MHz, 40kword Data RAM, I2C/SPI, S/PDIF I/O, 16-Channel ASRC, LFCSP-72",Package_CSP:LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ADAU1452_1451_1450.pdf
Amplifier_Audio,TPA6110A2DGN,TPA6110A2DGN,"150-mW Stereo Audio Power Amplifier, HVSSOP",Package_SO:HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,https://www.ti.com/lit/ds/symlink/tpa6110a2.pdf
Amplifier_Audio,TPA6132A2RTE,TPA6132A2RTE,"25mW, Stereo, DirectPath Audio Amplifier, WQFN-16",Package_DFN_QFN:WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,https://www.ti.com/lit/ds/symlink/tpa6132a2.pdf
Amplifier_Audio,TPA6203A1DRB,TPA6203A1DRB,"1.25W, Mono, Differential Audio Amplifier, VSON-8",Package_DFN_QFN:Texas_DRB0008A,https://www.ti.com/lit/ds/symlink/tpa6203a1.pdf
Audio,CS8420,CS8420,"Digital Audio Sample Rate Converter, SOIC-28",Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS8420_F4.pdf
Audio,CS8416-xNZ,CS8416-xNZ,"192 kHz Digital Audio Interface Receiver, QFN-28",Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS8416_F3.pdf
Audio,CS8414,CS8414,"96 kHz Digital Audio Receiver, SOIC-28",Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,http://lampizator.eu/LAMPIZATOR/TRANSPORT/CS8414_receiver.pdf
Audio,CS43L21,CS43L21,"Low-Power, Stereo Digital-to-Analog Converter, QFN-32",Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,https://d3uzseaevmutz1.cloudfront.net/pubs/proDatasheet/CS43L21_F1.pdf
Audio,CS4348,CS4348,"16-Bit, 192 kHz Stereo D/A Converter, Right-Justified Audio Format, TSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,https://statics.cirrus.com/pubs/proDatasheet/CS4344-45-48_F2.pdf
Audio,CS4345,CS4345,"16 to 24-Bit, 192 kHz Stereo D/A Converter, Left-Justified Audio Format, TSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,https://statics.cirrus.com/pubs/proDatasheet/CS4344-45-48_F2.pdf
Audio,CS4344,CS4344,"16 to 24-Bit, 192 kHz Stereo D/A Converter, I2S Audio Format, TSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,https://statics.cirrus.com/pubs/proDatasheet/CS4344-45-48_F2.pdf
Audio,CS4334,CS4334,"24-Bit, 96kHz Stereo D/A Converter, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://statics.cirrus.com/pubs/proDatasheet/CS4334-5-8-9_F7.pdf
Audio,CS4272,CS4272,"24-Bit, 192 kHz Stereo Audio CODEC, TSSOP-28",Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm,https://statics.cirrus.com/pubs/proDatasheet/CS4272_F1.pdf
Audio,CS4270,CS4270,"24-Bit, 192-kHz Stereo Audio CODEC, TSSOP-24",Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm,https://statics.cirrus.com/pubs/proDatasheet/CS4270_F1.pdf
Audio,CS4265,CS4265,"104 dB, 24-Bit, 192 kHz Stereo Audio CODEC, QFN-32",Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,https://statics.cirrus.com/pubs/proDatasheet/CS4265_F5.pdf
Analog_DAC,CS434x-xZZ,CS434x-xZZ,"24-Bit, 192-kHz Stereo D/A Converter, TSSOP-10",Package_SO:TSSOP-10_3x3mm_P0.5mm,https://statics.cirrus.com/pubs/proDatasheet/CS4344-45-48_F2.pdf
Amplifier_Audio,MAX9850xTI,MAX9850xTI,"Stereo audio DAC with headphone amplifier, TQFN-28",Package_DFN_QFN:TQFN-28-1EP_5x5mm_P0.5mm_EP3.25x3.25mm_ThermalVias,https://datasheets.maximintegrated.com/en/ds/MAX9850.pdf
Analog_DAC,MCP4801-EMC,MCP4801-EMC,"8-Bit D/A Converters with SPI Interface, internal Reference (2.048V)",Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22244B.pdf
Analog_DAC,MCP4811-EMC,MCP4811-EMC,"10-Bit D/A Converters with SPI Interface, internal Reference (2.048V)",Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22244B.pdf
Analog_DAC,MCP4821-EMC,MCP4821-EMC,"12-Bit D/A Converters with SPI Interface, internal Reference (2.048V)",Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22244B.pdf
Analog_DAC,MCP4901-EMC,MCP4901-EMC,8-Bit D/A Converters with SPI Interface,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22248a.pdf
Analog_DAC,MCP4911-EMC,MCP4911-EMC,10-Bit D/A Converters with SPI Interface,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22248a.pdf
Analog_DAC,MCP4921-EMC,MCP4921-EMC,12-Bit D/A Converters with SPI Interface,Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm,http://ww1.microchip.com/downloads/en/DeviceDoc/22248a.pdf
Audio,UDA1334ATS,UDA1334ATS,"Low Power Audio DAC with PLL, SSOP-16",Package_SO:SSOP-16_4.4x5.2mm_P0.65mm,http://www.nxp.com/docs/en/data-sheet/UDA1334ATS.pdf
Analog_DAC,MC1408_SOIC,MC1408_SOIC,8-bit multiplying DAC,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,http://www.pinballpcb.com/datasheets/OnMC1408-dac.pdf
Audio,MAX98357A,MAX98357A,"Mono DAC with amplifier, I2S, PCM, TDM, 32-bit, 96khz, 3.2W, TQFP-16",Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf
Analog_DAC,MAX5138,MAX5138,"Low-Power, Single, 16-Bit, Buffered Voltage-Output DAC",Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,https://datasheets.maximintegrated.com/en/ds/MAX5138-MAX5139.pdf
Analog_DAC,MAX5139,MAX5139,"Low-Power, Single, 12-Bit, Buffered Voltage-Output DAC",Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,https://datasheets.maximintegrated.com/en/ds/MAX5138-MAX5139.pdf
Analog_DAC,MAX5717xSD,MAX5717xSD,"16-bit Voltage Digital-to-Analog converter, SOIC-14",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/MAX5717-MAX5719.pdf
Analog_DAC,MAX5719xSD,MAX5719xSD,"20-bit Voltage Digital-to-Analog converter, SOIC-14",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/MAX5717-MAX5719.pdf
Analog_DAC,DAC8750xRHA,DAC8750xRHA,"Single-Channel, 16bit Programmable Current Output DAC for 4-mA to 20-mA Current Loop Applications, VQFN-40",Package_DFN_QFN:Texas_RHA_VQFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias,http://www.ti.com/lit/ds/symlink/dac7750.pdf
Analog_DAC,DAC5578xRGE,DAC5578xRGE,"8-Bit, Octal-Channel, Ultra-Low Glitch, Voltage Output, Two-Wire Interface Digital-to-Analog Converters, QFN-24",Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,http://www.ti.com/lit/ds/symlink/dac5578.pdf
Analog_DAC,DAC70502,DAC70502,"14-bit dual-channel voltage output DAC, 2.5V 5ppm/°C internal reference, WSON-10",Package_SON:Texas_DRX_WSON-10_2.5x2.5mm_P0.5mm,https://www.ti.com/lit/ds/symlink/dac80502.pdf
Analog_DAC,DAC6578xRGE,DAC6578xRGE,"10-Bit, Octal-Channel, Ultra-Low Glitch, Voltage Output, Two-Wire Interface Digital-to-Analog Converters, QFN-24",Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,http://www.ti.com/lit/ds/symlink/dac5578.pdf
Analog_DAC,DAC6311xDCK,DAC6311xDCK,"10-Bit, Single-Channel, Voltage Output, Serial Interface Digital-to-Analog Converters, SC-70",Package_TO_SOT_SMD:SOT-363_SC-70-6,https://www.ti.com/lit/ds/symlink/dac5311.pdf
Analog_DAC,DAC60504,DAC60504,"12-bit quad-channel voltage output DAC, 2.5V 2ppm/°C internal reference, WQFN-16",Package_DFN_QFN:Texas_RTE0016D_WQFN-16-1EP_3x3mm_P0.5mm_EP0.8x0.8mm_ThermalVias,https://www.ti.com/lit/gpn/dac60504
Analog_DAC,DAC60502,DAC60502,"12-bit dual-channel voltage output DAC, 2.5V 5ppm/°C internal reference, WSON-10",Package_SON:Texas_DRX_WSON-10_2.5x2.5mm_P0.5mm,https://www.ti.com/lit/ds/symlink/dac80502.pdf
Analog_DAC,DAC5311xDCK,DAC5311xDCK,"8-Bit, Single-Channel, Voltage Output, Serial Interface Digital-to-Analog Converters, SC-70",Package_TO_SOT_SMD:SOT-363_SC-70-6,https://www.ti.com/lit/ds/symlink/dac5311.pdf
Analog_DAC,DAC1220E,DAC1220E,"20-Bit , Low-Power Digital-to-Analog Converter, SSOP-16",Package_SO:SSOP-16_3.9x4.9mm_P0.635mm,https://www.ti.com/lit/ds/symlink/dac1220.pdf
Analog_DAC,DAC121C081CIMK,DAC121C081CIMK,"12-bit Micropower DAC with I2C-Compatible Interface, SOT-23-6",Package_TO_SOT_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/dac121c081.pdf
Analog_DAC,DAC101C081CIMK,DAC101C081CIMK,"10-bit Micropower DAC with I2C-Compatible Interface, SOT-23-6",Package_TO_SOT_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/dac101c081.pdf
Analog_DAC,DAC1008LCN,DAC1008LCN,"Double-Buffered D to A Converters, DIP-20",Package_DIP:DIP-20_W7.62mm,https://pdf.datasheetcatalog.com/datasheets/400/195351_DS.pdf
Analog_DAC,DAC1007LCN,DAC1007LCN,"Double-Buffered D to A Converters, DIP-20",Package_DIP:DIP-20_W7.62mm,https://pdf.datasheetcatalog.com/datasheets/400/195351_DS.pdf
Analog_DAC,DAC70504,DAC70504,"14-bit quad-channel voltage output DAC, 2.5V 2ppm/°C internal reference, WQFN-16",Package_DFN_QFN:Texas_RTE0016D_WQFN-16-1EP_3x3mm_P0.5mm_EP0.8x0.8mm_ThermalVias,https://www.ti.com/lit/gpn/dac70504
Analog_DAC,DAC7311xDCK,DAC7311xDCK,"12-Bit, Single-Channel, Voltage Output, Serial Interface Digital-to-Analog Converters, SC-70",Package_TO_SOT_SMD:SOT-363_SC-70-6,https://www.ti.com/lit/ds/symlink/dac5311.pdf
Analog_DAC,DAC7513_DCN,DAC7513_DCN,"Low-Power, Rail-to-Rail Output, 12-Bit Serial Input DAC",Package_TO_SOT_SMD:SOT-23-8,http://www.ti.com.cn/cn/lit/ds/symlink/dac7513.pdf
Analog_DAC,DAC7565,DAC7565,12-bit quad-channel voltage output DAC with 2.5V internal reference,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac7565.pdf
Analog_DAC,DAC8571IDGK,DAC8571IDGK,"DAC, 16-Bit, Low Power, Voltage Output, Rail-to-Rail Output, I2C Interface, MSOP-8 3x3mm package",Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8571.pdf
Analog_DAC,DAC8565,DAC8565,16-bit quad-channel voltage output DAC with 2.5V internal reference,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8565.pdf
Analog_DAC,DAC8552,DAC8552,"Digital to analog converter, 16 Bit, 2 ch, ultra-low glitch, 2.7 - 5.5 VDD, MSOP-8",Package_SO:Texas_S-PDSO-G8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8552.pdf
Analog_DAC,DAC8532xDGK,DAC8532xDGK,"Dual Channel, 16-bit, Low Power, Serial Input Digital-To-Analog Converter, VDD = 2.7..5.5V, up to 30MHz (VDD = 5V), VSSOP-8",Package_SO:VSSOP-8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8532.pdf
Analog_DAC,DAC8531E,DAC8531E,"16-bit DAC, Voltage Output, Rail-to-Rail Output, SPI interface, MSOP-8 3x3mm package",Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8531.pdf
Analog_DAC,DAC8501E,DAC8501E,"16-bit DAC, Voltage Output, Rail-to-Rail Output, SPI interface, MSOP-8 3x3mm package",Package_SO:MSOP-8_3x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/dac8501.pdf
Interface_Expansion,MAX31913xUI,MAX31913xUI,"Industrial, Octal, Digital Input Translator/Serializer, 8 integrated energy-less LED drivers, SPI interface, TSSOP-28",Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max31913.pdf
Interface,CDCLVP1102RGT,CDCLVP1102RGT,"Two-LVPECL Output, High-Performance Clock Buffer, VQFN-16",Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,http://www.ti.com/lit/ds/symlink/cdclvp1102.pdf
Timer,CD4541BM,CD4541BM,"20V, Programmable Timer, SOIC-14",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,https://www.ti.com/lit/ds/symlink/cd4541b.pdf
Sensor_Touch,CAP1206-x-AIA,CAP1206-x-AIA,"6-Channel Capacitive Touch Sensor, DFN-10",Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,http://ww1.microchip.com/downloads/en/DeviceDoc/00001567B.pdf
RF,CC1000,CC1000,"Single Chip Low Power RF Transceiver, TSSOP-28",Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm,www.ti.com/lit/ds/symlink/cc1000.pdf
MCU_Texas_MSP430,CC430F5137xRGZ,CC430F5137xRGZ,"32KB Flash, 4KB RAM, MSP430 core with integrated CC1101 radio transceiver, VQFN-48",Package_DFN_QFN:VQFN-48-1EP_7x7mm_P0.5mm_EP4.1x4.1mm_ThermalVias,http://www.ti.com/lit/ds/symlink/cc430f5137.pdf
Sensor_Gas,CCS811,CCS811,Ultra-low power digital gas sensor for monitoring indoor air quality,Package_LGA:AMS_LGA-10-1EP_2.7x4mm_P0.6mm,https://www.sciosense.com/wp-content/uploads/documents/SC-001232-DS-3-CCS811B-Datasheet-Revision-2.pdf
MCU_Texas_SimpleLink,CC1312R1F3RGZ,CC1312R1F3RGZ,"ARM Cortex-M4 SimpleLink High-Performance Sub-1GHz Wireless MCU, 48MHz, 352KB Flash, 80KB SRAM, 8KB Cache SRAM, 1.8-3.6V, 30 GPIO, VQFN-48",Package_DFN_QFN:VQFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,http://www.ti.com/lit/ds/symlink/cc1312r.pdf
RF,CC2500,CC2500,"Single Chip Low Power RF Transceiver, QFN-20",Package_DFN_QFN:Texas_RGP0020H_VQFN-20-1EP_4x4mm_P0.5mm_EP2.4x2.4mm,http://www.ti.com/lit/ds/symlink/cc2500.pdf
Regulator_Linear,MAX38909xTD,MAX38909xTD,"2A, High-Performance LDO Linear Regulator, 0.9V-5.5Vin, 0.6V-5Vout, 2.7V-20Vbias, TDFN-14",Package_DFN_QFN:TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX38909.pdf
RF_ZigBee,CC2520,CC2520,2.4 GHz ZigBee/IEEE 802.15.4 RF transceiver,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,http://www.ti.com/lit/gpn/cc2520
Regulator_Linear,MAX38908xTD,MAX38908xTD,"4A, High-Performance LDO Linear Regulator, 0.9V-5.5Vin, 0.6V-5Vout, 2.7V-20Vbias, TDFN-14",Package_DFN_QFN:TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX38907-MAX38908.pdf
Driver_Relay,MAX4821xUP,MAX4821xUP,"8-Channel Parallel Interface Low-Side Driver, TSSOP-20",Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm,https://datasheets.maximintegrated.com/en/ds/MAX4820-MAX4821.pdf
Driver_Relay,MAX4820xUP,MAX4820xUP,"8-Channel Serial Interface Low-Side Driver, TSSOP-20",Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.85x4mm,https://datasheets.maximintegrated.com/en/ds/MAX4820-MAX4821.pdf
MCU_Texas_MSP430,CC430F5133xRGZ,CC430F5133xRGZ,"8KB Flash, 2KB RAM, MSP430 core with integrated CC1101 radio transceiver, VQFN-48",Package_DFN_QFN:VQFN-48-1EP_7x7mm_P0.5mm_EP4.1x4.1mm_ThermalVias,http://www.ti.com/lit/ds/symlink/cc430f5137.pdf
MCU_Texas_MSP430,CC430F5135xRGZ,CC430F5135xRGZ,"16KB Flash, 2KB RAM, MSP430 core with integrated CC1101 radio transceiver, VQFN-48",Package_DFN_QFN:VQFN-48-1EP_7x7mm_P0.5mm_EP4.1x4.1mm_ThermalVias,http://www.ti.com/lit/ds/symlink/cc430f5137.pdf
RF,CC1200,CC1200,"Low-Power, High-Performance RF Transceiver, QFN-32",Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,http://www.ti.com/lit/ds/symlink/cc1200.pdf
Interface,CH376T,CH376T,"File Management USB Flash Card SD Interface, SSOP-20",Package_SO:SSOP-20_5.3x7.2mm_P0.65mm,https://www.mpja.com/download/ch376ds1.pdf
Buffer,CDCV304,CDCV304,"0-200 MHz 1:4 Clock Buffer, PCI-X Compliant, TSSOP-8",Package_SO:TSSOP-8_4.4x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/cdcv304.pdf
Interface_Expansion,MAX31912xUI,MAX31912xUI,"Ultra-Low Power Industrial, Octal, Digital Input Translator/Serializer, 8 integrated energy-less LED drivers, SPI interface, TSSOP-28",Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max31912.pdf
Driver_Motor,MAX22202,MAX22202,"36V, 3.5A Brushed Motor Driver with Integrated Current Sense and Enable/Phase Inputs, 12-TDFN",Package_DFN_QFN:Maxim_TDFN-12-1EP_3x3mm_P0.5mm_EP1.7x2.5mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/max22201-max22207.pdf
Driver_Motor,MAX22207,MAX22207,"36V, 3.5A Brushed Motor Driver with Integrated Current Sense and Current Driver Regulation output, 12-TDFN",Package_DFN_QFN:Maxim_TDFN-12-1EP_3x3mm_P0.5mm_EP1.7x2.5mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/max22201-max22207.pdf
Sensor_Proximity,ITR8307,ITR8307,"Subminiature Reflective Optical Sensor, SMD-package with PCB-cutout",OptoDevice:Everlight_ITR8307,http://www.everlight.com/file/ProductFile/ITR8307.pdf
Interface_USB,CP2108-xxx-xM,CP2108-xxx-xM,"Full Speed Quad Channel USB UART/FIFO, integrated clock and EEPROM, QFN-64",Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP4.1x4.1mm,https://www.silabs.com/documents/public/data-sheets/cp2108-datasheet.pdf
Driver_Motor,MAX22208xTU,MAX22208xTU,"65V / 3.8A Quad Half H-Bridge Drivers with Integrated Current Sense, WQFN-38",Package_DFN_QFN:WQFN-38-1EP_5x7mm_P0.5mm_EP3.65x5.65mm_ThermalVias,https://www.analog.com/media/en/technical-documentation/data-sheets/max22208.pdf
Sensor_Proximity,CNY70,CNY70,Reflective Optical Sensor with Transistor Output,OptoDevice:Vishay_CNY70,https://www.vishay.com/docs/83751/cny70.pdf
RF_Amplifier,CMX901,CMX901,Broadband Efficient RF Power Amplifier,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias,https://www.cmlmicro.com/wp-content/uploads/2017/10/CMX901_ds.pdf
Sensor,MAX30102,MAX30102,"Heart Rate Sensor, 14-OLGA",OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm,https://datasheets.maximintegrated.com/en/ds/MAX30102.pdf
Power_Protection,CM1624,CM1624,"MMC interface, EMI filter, TVS, Line termination, UDFN-16",Package_DFN_QFN:OnSemi_UDFN-16-1EP_1.35x3.3mm_P0.4mm_EP0.4x2.8mm,https://www.onsemi.com/pdf/datasheet/cm1624-d.pdf
Interface_UART,MAX3072E,MAX3072E,"+3.3V, ±15kV ESD-Protected, Fail-Safe, Hot-Swap, RS-485/RS-422 Transceivers, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/MAX3070E-MAX3079E.pdf
Interface_UART,MAX3075E,MAX3075E,"+3.3V, ±15kV ESD-Protected, Fail-Safe, Hot-Swap, RS-485/RS-422 Transceivers, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/MAX3070E-MAX3079E.pdf
Interface_UART,MAX3078E,MAX3078E,"+3.3V, ±15kV ESD-Protected, Fail-Safe, Hot-Swap, RS-485/RS-422 Transceivers, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/MAX3070E-MAX3079E.pdf
Driver_LED,CL220N5-G,CL220N5-G,"Temperature Compensated Constant Current LED IC, TO-220",Package_TO_SOT_THT:TO-220-3_Vertical,http://ww1.microchip.com/downloads/en/DeviceDoc/20005413A.pdf
Driver_LED,CL220K4-G,CL220K4-G,"Temperature Compensated Constant Current LED IC, D-PAK",Package_TO_SOT_SMD:TO-252-2,http://ww1.microchip.com/downloads/en/DeviceDoc/20005413A.pdf
Sensor_Temperature,MAX31820,MAX31820,1-Wire Ambient Temperature Sensor TO-92,Package_TO_SOT_THT:TO-92_Inline,http://datasheets.maximintegrated.com/en/ds/MAX31820.pdf
Sensor_Temperature,MAX31826,MAX31826,1-Wire Digital Temperature Sensor with 1Kb Lockable EEPROM MSOP-8,Package_SO:MSOP-8_3x3mm_P0.65mm,http://datasheets.maximintegrated.com/en/ds/MAX31826.pdf
Sensor_Temperature,MAX31855EASA,MAX31855EASA,"Cold Junction E-type Thermocouple Interface, SPI, SOIC-8",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/MAX31855.pdf
Sensor,CHT11,CHT11,Temperature and humidity module,Sensor:Aosong_DHT11_5.5x12.0_P2.54mm,http://aosong.com/en/products-21.html
Sensor_Proximity,ITR8307-S17-TR8,ITR8307-S17-TR8,"Miniature Reflective Optical Object Sensor, SMD-4",OptoDevice:Everlight_ITR1201SR10AR,https://datasheet.lcsc.com/szlcsc/1810010232_Everlight-Elec-ITR8307-S17-TR8-B_C81632.pdf
Sensor_Proximity,ITR8307-F43,ITR8307-F43,"Subminiature Reflective Optical Sensor, DIP-like THT-package",OptoDevice:Everlight_ITR8307F43,https://everlighteurope.com/index.php?controller=attachment&id_attachment=5385
MCU_WCH_CH32V0,CH32V003FxUx,CH32V003FxUx,"CH32V003 series are industrial-grade general-purpose microcontrollers designed based on 32-bit RISC-V instruction set and architecture. It adopts QingKe V2A core, RV32EC instruction set, and supports 2 levels of interrupt nesting. The series are mounted with rich peripheral interfaces and function modules. Its internal organizational structure meets the low-cost and low-power embedded application scenarios.",Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,https://www.wch-ic.com/products/CH32V003.html
Interface_Expansion,MAX31910xUI,MAX31910xUI,"Ultra-Low Power Industrial, Octal, Digital Input Translator/Serializer, SPI interface, TSSOP-28",Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max31910.pdf
Interface_USB,CH246D,CH246D,"USB QII wireless charging interface PD2.0, BC1.2, QII 5W, 7.5W, 10W, 15W, QFN-20",Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,https://wch-ic.com/downloads/file/307.html
Interface_USB,CH236D,CH236D,"USB fast charging interface PD2.0/3.0, PPS, BC1.2 , QFN-20",Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,https://wch-ic.com/downloads/file/313.html
Interface_Expansion,MAX31911xUI,MAX31911xUI,"Industrial, Octal, Digital Input Translator/Serializer, SPI interface, TSSOP-28",Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm,https://www.analog.com/media/en/technical-documentation/data-sheets/max31911.pdf
Sensor_Proximity,ITR8307-L24-TR8,ITR8307-L24-TR8,"Miniature Reflective Optical Object Sensor, SMD-4",OptoDevice:Everlight_ITR1201SR10AR,https://www.everlight.com/file/ProductFile/ITR8307-L24-TR8.pdf
Reference_Voltage,MAX6070AAUT18+T,MAX6070AAUT18+T,"Low-Noise, High-Precision Series Voltage Reference, 1.8V, ±0.04% initial accuracy, SOT-23-6",Package_TO_SOT_SMD:SOT-23-6,https://www.analog.com/media/en/technical-documentation/data-sheets/max6070-max6071.pdf
